case_id,prefix_length,start,rem_time,train,val,test
Case 1,2,2012-10-09 14:50:17+00:00,30.919189814814814,0,0,1
Case 1,3,2012-10-09 14:50:17+00:00,27.910914351851854,0,0,1
Case 1,4,2012-10-09 14:50:17+00:00,15.04181712962963,0,0,1
Case 2,2,2012-04-03 08:55:38+00:00,46.003182870370374,0,1,0
Case 2,3,2012-04-03 08:55:38+00:00,43.98930555555555,0,1,0
Case 3,2,2010-10-29 10:14:06+00:00,26.794525462962962,1,0,0
Case 3,3,2010-10-29 10:14:06+00:00,26.7909837962963,1,0,0
Case 4,2,2010-12-15 14:31:53+00:00,58.277488425925924,1,0,0
Case 4,3,2010-12-15 14:31:53+00:00,58.27248842592593,1,0,0
Case 5,2,2012-04-03 13:08:32+00:00,51.97563657407408,0,1,0
Case 5,3,2012-04-03 13:08:32+00:00,51.974375,0,1,0
Case 5,4,2012-04-03 13:08:32+00:00,51.95516203703704,0,1,0
Case 5,5,2012-04-03 13:08:32+00:00,51.87708333333333,0,1,0
Case 6,2,2011-10-25 15:13:58+00:00,46.015289351851855,1,0,0
Case 6,3,2011-10-25 15:13:58+00:00,45.268171296296295,1,0,0
Case 7,2,2013-11-06 10:47:35+00:00,33.922731481481485,0,0,1
Case 7,3,2013-11-06 10:47:35+00:00,18.03991898148148,0,0,1
Case 7,4,2013-11-06 10:47:35+00:00,15.027430555555556,0,0,1
Case 7,5,2013-11-06 10:47:35+00:00,15.000208333333333,0,0,1
Case 8,2,2012-07-05 08:30:32+00:00,58.96854166666666,0,1,0
Case 8,3,2012-07-05 08:30:32+00:00,58.95533564814815,0,1,0
Case 9,2,2010-05-07 13:02:21+00:00,33.10650462962963,1,0,0
Case 9,3,2010-05-07 13:02:21+00:00,16.214907407407406,1,0,0
Case 9,4,2010-05-07 13:02:21+00:00,15.00013888888889,1,0,0
Case 10,2,2010-02-10 08:50:20+00:00,14.958703703703703,1,0,0
Case 10,3,2010-02-10 08:50:20+00:00,14.958622685185185,1,0,0
Case 11,2,2011-12-21 15:24:41+00:00,31.0034375,1,0,0
Case 11,3,2011-12-21 15:24:41+00:00,30.2325,1,0,0
Case 12,2,2013-03-18 10:47:34+00:00,30.673657407407408,0,0,1
Case 12,3,2013-03-18 10:47:34+00:00,15.00017361111111,0,0,1
Case 13,2,2012-12-17 09:47:49+00:00,17.04662037037037,0,0,1
Case 13,3,2012-12-17 09:47:49+00:00,15.00017361111111,0,0,1
Case 14,2,2011-07-05 13:47:08+00:00,31.002071759259263,1,0,0
Case 14,3,2011-07-05 13:47:08+00:00,30.998425925925925,1,0,0
Case 15,2,2013-02-20 09:58:27+00:00,15.00605324074074,0,0,1
Case 15,3,2013-02-20 09:58:27+00:00,15.002569444444445,0,0,1
Case 15,4,2013-02-20 09:58:27+00:00,15.000196759259259,0,0,1
Case 16,2,2012-02-22 14:16:52+00:00,30.920972222222222,1,0,0
Case 16,3,2012-02-22 14:16:52+00:00,30.914143518518518,1,0,0
Case 16,4,2012-02-22 14:16:52+00:00,30.18936342592593,1,0,0
Case 17,2,2011-10-14 07:10:47+00:00,21.986145833333335,1,0,0
Case 17,3,2011-10-14 07:10:47+00:00,15.101597222222223,1,0,0
Case 18,2,2013-03-01 16:06:11+00:00,15.804837962962964,0,0,1
Case 18,3,2013-03-01 16:06:11+00:00,14.958576388888888,0,0,1
Case 18,4,2013-03-01 16:06:11+00:00,14.958576388888888,0,0,1
Case 19,2,2010-07-07 07:54:04+00:00,28.909375,1,0,0
Case 19,3,2010-07-07 07:54:04+00:00,28.909074074074073,1,0,0
Case 20,2,2013-05-09 07:10:37+00:00,29.818912037037038,0,0,1
Case 20,3,2013-05-09 07:10:37+00:00,24.00384259259259,0,0,1
Case 20,4,2013-05-09 07:10:37+00:00,15.000150462962964,0,0,1
Case 21,2,2011-01-14 15:15:21+00:00,30.092361111111114,1,0,0
Case 21,3,2011-01-14 15:15:21+00:00,30.000254629629627,1,0,0
Case 22,2,2012-07-23 07:49:04+00:00,50.094664351851854,0,1,0
Case 22,3,2012-07-23 07:49:04+00:00,50.05108796296296,0,1,0
Case 22,4,2012-07-23 07:49:04+00:00,15.00011574074074,0,1,0
Case 23,2,2012-12-19 16:33:23+00:00,34.308935185185184,0,0,1
Case 23,3,2012-12-19 16:33:23+00:00,15.000150462962964,0,0,1
Case 24,2,2010-04-27 09:49:56+00:00,15.152453703703705,1,0,0
Case 24,3,2010-04-27 09:49:56+00:00,15.00013888888889,1,0,0
Case 25,2,2010-12-30 09:27:17+00:00,47.844722222222224,1,0,0
Case 25,3,2010-12-30 09:27:17+00:00,47.7596412037037,1,0,0
Case 26,2,2011-03-31 07:28:47+00:00,35.096377314814816,1,0,0
Case 26,3,2011-03-31 07:28:47+00:00,35.049363425925925,1,0,0
Case 26,4,2011-03-31 07:28:47+00:00,34.951597222222226,1,0,0
Case 26,5,2011-03-31 07:28:47+00:00,34.95144675925926,1,0,0
Case 27,2,2011-11-24 14:02:16+00:00,32.7933912037037,1,0,0
Case 27,3,2011-11-24 14:02:16+00:00,15.000196759259259,1,0,0
Case 28,2,2013-10-25 15:53:59+00:00,58.67638888888889,0,0,1
Case 28,3,2013-10-25 15:53:59+00:00,58.67630787037037,0,0,1
Case 28,4,2013-10-25 15:53:59+00:00,58.676180555555554,0,0,1
Case 28,5,2013-10-25 15:53:59+00:00,38.67519675925926,0,0,1
Case 29,2,2012-07-30 10:07:32+00:00,46.00206018518518,0,1,0
Case 29,3,2012-07-30 10:07:32+00:00,45.903449074074075,0,1,0
Case 30,2,2011-01-21 09:47:20+00:00,17.987384259259258,1,0,0
Case 30,3,2011-01-21 09:47:20+00:00,15.00017361111111,1,0,0
Case 31,2,2013-04-15 12:41:20+00:00,42.267233796296296,0,0,1
Case 31,3,2013-04-15 12:41:20+00:00,42.25900462962963,0,0,1
Case 31,4,2013-04-15 12:41:20+00:00,42.25876157407408,0,0,1
Case 31,5,2013-04-15 12:41:20+00:00,15.000243055555556,0,0,1
Case 32,2,2011-04-27 07:38:44+00:00,37.787696759259255,1,0,0
Case 32,3,2011-04-27 07:38:44+00:00,36.97386574074074,1,0,0
Case 33,2,2013-04-29 13:22:48+00:00,15.809421296296295,0,0,1
Case 33,3,2013-04-29 13:22:48+00:00,15.00017361111111,0,0,1
Case 34,2,2013-06-11 13:56:40+00:00,24.98329861111111,0,0,1
Case 34,3,2013-06-11 13:56:40+00:00,24.982546296296295,0,0,1
Case 34,4,2013-06-11 13:56:40+00:00,23.869189814814817,0,0,1
Case 34,5,2013-06-11 13:56:40+00:00,15.00011574074074,0,0,1
Case 35,2,2012-01-18 08:15:30+00:00,51.94034722222222,1,0,0
Case 36,2,2011-06-29 10:06:48+00:00,29.883298611111112,1,0,0
Case 36,3,2011-06-29 10:06:48+00:00,25.109456018518518,1,0,0
Case 37,2,2011-02-10 11:13:07+00:00,51.89222222222222,1,0,0
Case 37,3,2011-02-10 11:13:07+00:00,51.72105324074074,1,0,0
Case 37,4,2011-02-10 11:13:07+00:00,31.801655092592593,1,0,0
Case 37,5,2011-02-10 11:13:07+00:00,31.801550925925927,1,0,0
Case 37,6,2011-02-10 11:13:07+00:00,31.715613425925927,1,0,0
Case 37,7,2011-02-10 11:13:07+00:00,29.95869212962963,1,0,0
Case 37,8,2011-02-10 11:13:07+00:00,29.95863425925926,1,0,0
Case 38,2,2012-03-20 07:57:45+00:00,32.334965277777776,1,0,0
Case 38,3,2012-03-20 07:57:45+00:00,32.320601851851855,1,0,0
Case 39,2,2013-08-29 11:05:59+00:00,30.87040509259259,0,0,1
